Player,ELO
CodPieceZ+7710,1117
uwtron+573,1217
DawnDiVito+5802,1058
mouseinabox+992,1180
Led_Slash+3579,1492
Youdge+8117,1183
pooge+6189,1286
secretpaths+8130,1150
Ironic+3891,1134
Odinius+897,1131
Wriggleroom+4502,1039
cliuless+2304,1270
HobGungan+2914,1130
darkcat+794,1146
radiantchaos+5523,1121
MrDrouf+3826,1251
100pctskillz+6186,1060
LHlegend+5313,1158
metalnooze+4817,1156
fadingnovel+7335,1210
Awesem+1966,1217
alevGO+2990,1175
doejurko+3088,1556
Jasiuńcio+3892,1174
time2orush+2871,1311
byzeke+7830,1164
pashatherussian+5688,1150
residentevil+6828,1160
NadtyLite+7330,1209
Antiproject+7236,1395
Mati92+4633,1185
Mindger+7576,1253
Tricholome+4276,1361
Klishu+3272,1079
ThoseTeeff+4061,1180
VanKaiserman+5269,1299
ToasterTrash+8502,1239
lumpyprol+3206,1187
kaiser+8343,1249
Perdita+9449,1216
StarhardFishrinse+1675,1158
Mouseman+7870,1437
bootle+7207,1272
KuperMeister+8518,1207
Mohammad+8142,1235
Nadav253+6419,1506
Peppy+6321,1189
NonStInc.+6190,1109
Wrestler+3756,1136
DelSol+6479,1178
PokerFace126+7192,1316
Hurple+6007,1116
CoxyNormus+5176,1136
Biggins96+3792,1155
Killerstorm17+3440,1480
Pandapapst+8323,1236
kayajam+9348,1463
Hydro033+5014,1230
Dandel+3128,1113
Bodnamax+6783,1209
Silver+6850,1304
sedlak87+8418,1184
marksoz00+1780,1133
Oppapi+9478,1099
Riverman+1204,1163
BaconBoy+9689,1127
AxlPrototype+5016,1278
BugMuff44+9091,1144
ImEpy+9148,1166
TheDolphinman+2630,1216
Sebby+9924,1177
Schkitz+8222,1249
evancomposer+2898,1182
Bapgo+7254,1345
TurkeyNoNo+9522,1320
BareGammon+82,1335
TheWiseFox+8428,1111
GameProfit+8226,1185
Aleph+9548,1298
Hossain2020+1837,1123
Wolvane+1704,1179
Octavius+8289,1228
mysti+7857,1181
Sjepeal+9206,1215
