Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,doejurko+3088,1560.0046270729397,8,8.0,100.0%,1560,+45
1,Killerstorm17+3440,1484.0257699567726,20,14.0,70.0%,1554,-21
2,Led_Slash+3579,1483.9255082093507,163,93.0,57.1%,1551,-14
3,kayajam+9348,1467.6627405969607,32,19.0,59.4%,1489,-14
4,tofuwater+4853,1459.417100355648,21,14.0,66.7%,1502,-27
5,ShuShuBana+2889,1441.0699095606856,57,30.0,52.6%,1511,+10
6,Seiza+6137,1439.884607245761,40,16.0,40.0%,1440,+27
7,Nadav253+6419,1437.5559623655133,21,13.0,61.9%,1506,-15
8,Mouseman+7870,1429.3196127359538,15,8.0,53.3%,1472,-12
9,Ctfox+5431,1419.2166144469406,20,11.0,55.0%,1456,-24
10,Tad604+8004,1418.817601032314,49,19.0,38.8%,1440,-26
11,swiftsusan+8662,1407.1794470109226,22,12.0,54.5%,1424,-21
12,matemato+5004,1391.3186471218667,52,21.0,40.4%,1402,-9
13,LucianTheFak+3697,1388.2357296485436,94,33.5,35.6%,1388,+12
14,IMPERATOR+2570,1386.6926749601148,11,7.5,68.2%,1501,-21
15,DarthPuniceus+9605,1376.7119035252726,54,18.0,33.3%,1381,+12
16,Xar149+9374,1374.1991826007404,11,7.0,63.6%,1499,-19
17,Tricholome+4276,1365.5339246921155,80,28.5,35.6%,1374,-8
18,Bapgo+7254,1364.246142515338,17,8.0,47.1%,1453,+23
-,tippop+7531,1364.1645867362288,8,4.0,50.0%,1382,-23
19,kaiser+8343,1360.0862523287421,46,19.0,41.3%,1383,+23
20,Pliskin+7357,1358.1523902690508,22,9.0,40.9%,1381,+23
21,Nefkano+8780,1356.4022227513235,79,31.0,39.2%,1421,-5
22,FrancescoBr+4009,1356.3685250739566,22,10.0,45.5%,1356,+19
23,KFull+1226,1355.051223230455,71,28.5,40.1%,1491,-5
24,FavorOfTheRabbits+9523,1346.7314842497376,20,8.0,40.0%,1366,-8
25,BareGammon+82,1339.4739601902756,10,5.0,50.0%,1376,-41
26,Rabbitwarlord+1983,1336.7427527938141,18,7.0,38.9%,1356,-15
-,RootiredRooter+4390,1332.1523312416766,6,3.0,50.0%,1346,-19
27,ChippZamoose+906,1324.662208690372,33,14.0,42.4%,1399,-13
28,Antiproject+7236,1322.0697873196573,23,10.0,43.5%,1422,-12
-,PokerFace126+7192,1320.6894241506664,5,3.0,60.0%,1321,+57
29,TimidTailwind+2597,1320.3556593863811,10,4.0,40.0%,1320,+49
30,ninjacat536+1220,1318.8564620688283,12,4.0,33.3%,1339,-11
-,time2orush+2871,1315.8810941690024,7,4.0,57.1%,1351,-40
31,VanKaiserman+5269,1315.3789127289865,14,6.0,42.9%,1319,+26
32,1coolguy+6294,1315.0594971378125,18,7.0,38.9%,1328,+31
33,Mossfusion+6189,1314.2372733662032,16,6.0,37.5%,1325,-15
-,complexartichoke+1699,1309.8447375715755,3,2.0,66.7%,1310,+59
-,gord20+7161,1309.3943053481162,2,2.0,100.0%,1309,+49
34,Kmahussier+2186,1309.2602597729972,40,14.0,35.0%,1342,-8
35,Silver+6850,1308.5565150059451,10,5.0,50.0%,1408,-12
-,vinnie+746,1304.263183913222,3,2.0,66.7%,1304,+61
-,Aleph+9548,1302.3346885578164,3,2.0,66.7%,1302,+55
-,Blurr+1887,1300.3076204586037,3,2.0,66.7%,1310,-14
36,LutherStr+1358,1299.7903274214252,45,12.0,26.7%,1300,+29
37,pooge+6189,1291.065415449936,21,7.0,33.3%,1394,-6
-,mishaelh1+6045,1290.9219386084899,8,3.0,37.5%,1291,+55
-,dindane+250,1290.2839319180885,5,2.0,40.0%,1290,+54
38,tjudge+8299,1289.3869973872063,19,7.0,36.8%,1315,-11
-,AxlPrototype+5016,1282.9018445561903,8,3.0,37.5%,1313,-35
-,Bitto+476,1281.007294086103,8,3.0,37.5%,1378,-14
-,Nudraxon+7640,1277.1318107194554,1,1.0,100.0%,1277,+73
-,bootle+7207,1276.7259636901101,6,2.0,33.3%,1277,+64
-,saintstonet+7390,1275.543243538142,1,1.0,100.0%,1276,+71
39,Valzaan+3564,1270.2964245957473,20,6.0,30.0%,1270,+29
-,Intraceptor+5437,1268.6974474685637,5,2.0,40.0%,1295,-30
-,lazarus210,1266.3486993824317,1,1.0,100.0%,1266,+62
-,Cabbage0642+3776,1266.27900896128,1,1.0,100.0%,1266,+62
-,KeyserSoze+1044,1265.2822918057527,1,1.0,100.0%,1265,+61
-,ShowStopperW+549,1262.9210746450412,1,1.0,100.0%,1263,+58
-,trollone1993+1106,1262.5833984405415,1,1.0,100.0%,1263,+58
40,Dramsss+3,1259.6963223979185,39,11.0,28.2%,1286,-12
-,Vagabond Glazer+6268,1258.8664894437989,1,1.0,100.0%,1259,+54
41,Cookies+3700,1258.7974882757421,15,5.0,33.3%,1314,-14
-,Mindger+7576,1257.564859579064,5,2.0,40.0%,1286,-14
42,MrDrouf+3826,1255.3873376066929,50,14.0,28.0%,1331,-11
-,aelisheneithlon+4087,1253.5933505039807,3,1.0,33.3%,1254,+71
43,Schkitz+8222,1251.1531252171162,98,25.0,25.5%,1293,-5
44,cliuless+2304,1249.9530914558836,116,31.5,27.2%,1306,-3
-,ermactually+9395,1248.5569409849847,2,1.0,50.0%,1249,+59
45,Bengal3+6710,1247.1371264917718,10,3.0,30.0%,1285,-20
-,pwarren8590+4047,1245.6495235516177,9,3.0,33.3%,1327,-15
46,Emperia+9282,1244.972656199103,42,11.5,27.4%,1310,-15
