Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
1,Bapgo+7254,1605.240554960549,12,10.0,83.3%,1605,+13
-,Nadav253+6419,1591.9057208576037,8,7.0,87.5%,1600,+20
-,doejurko+3088,1560.0046270729397,0,0.0,0.0%,1560,0
2,kayajam+9348,1544.5736506926617,28,16.0,57.1%,1545,+17
3,kaiser+8343,1535.1935860922551,16,11.0,68.8%,1561,-28
4,tofuwater+4853,1527.9190216106647,22,14.0,63.6%,1581,-21
5,Killerstorm17+3440,1481.6844674201834,17,10.0,58.8%,1566,-22
6,Cookies+3700,1480.4714282497457,20,14.0,70.0%,1502,-24
7,BennyJ+6079,1467.6340709995457,24,13.0,54.2%,1553,-18
8,Jack432+6277,1451.7388425065658,22,13.0,59.1%,1476,-27
9,matemato+5004,1435.8200766328373,46,23.0,50.0%,1515,-14
10,ShuShuBana+2889,1434.1329356689985,25,12.0,48.0%,1652,-16
11,oshwott2844+9258,1425.1161945740973,38,22.0,57.9%,1523,-27
12,Ctfox+5431,1422.8948273376413,13,5.0,38.5%,1472,-26
-,Pandapapst+8323,1407.8022108632185,7,4.0,57.1%,1408,+43
13,ChippZamoose+906,1406.8400335315616,10,5.0,50.0%,1428,+59
14,Pliskin+7357,1402.6326279653667,22,10.0,45.5%,1462,+21
15,LucianTheFak+3697,1390.3616450897373,132,61.0,46.2%,1540,+12
16,cringelordirl+3838,1390.013559751586,44,17.5,39.8%,1419,+22
-,Mouseman+7870,1387.419199165318,1,0.0,0.0%,1429,-44
-,IMPERATOR+2570,1386.6926749601148,0,0.0,0.0%,1387,0
-,VanKaiserman+5269,1386.3990493068611,8,3.0,37.5%,1395,+48
17,pooge+6189,1382.0900231321937,14,6.0,42.9%,1421,-10
-,Manpanzee+265,1381.6892342604197,8,4.0,50.0%,1382,+58
18,Emperia+9282,1379.4521761891428,69,30.0,43.5%,1443,-7
-,Xar149+9374,1374.1991826007404,0,0.0,0.0%,1374,0
19,uFancyHUH+8404,1372.3872891951607,38,14.0,36.8%,1393,-10
-,tippop+7531,1364.1645867362288,0,0.0,0.0%,1364,0
20,swiftsusan+8662,1362.692766517814,25,8.0,32.0%,1449,-7
21,Antiproject+7236,1361.0205671708734,25,9.0,36.0%,1409,-16
-,FrancescoBr+4009,1356.3685250739566,0,0.0,0.0%,1356,0
22,Seiza+6137,1355.96010376244,47,13.0,27.7%,1476,-13
23,idk123+6079,1355.954366056147,33,15.0,45.5%,1470,+21
-,BloodMuffin+4386,1350.7933246482698,7,3.0,42.9%,1351,+58
-,mishaelh1+6045,1348.314777805444,1,1.0,100.0%,1348,+55
24,PestoEmporium+6690,1347.1448653048715,50,15.0,30.0%,1366,+26
25,Tricholome+4276,1343.7678384582805,29,9.0,31.0%,1366,-11
26,Mossfusion+6189,1343.1785291652695,25,9.0,36.0%,1395,-16
-,BareGammon+82,1339.4739601902756,0,0.0,0.0%,1339,0
27,Kirien+375,1338.6518304649198,44,18.0,40.9%,1407,-11
28,Dekiru+4451,1338.1304610222267,28,11.0,39.3%,1415,+26
-,tjudge+8299,1334.985388987085,3,2.0,66.7%,1335,+45
29,Luclid+298,1333.153713288758,25,9.0,36.0%,1363,-16
