Rank,MatchID,Date,Winner,Other Players,ELO_Sum
1,46335,2026-04-05,Emperia+9282,"Led_Slash+3579, Antiproject+7236, Bapgo+7254",5756
2,46264,2026-04-08,ShuShuBana+2889,"Nefkano+8780, Emperia+9282, ZachB+8726",5512
3,46308,2026-04-04,matemato+5004,"VanKaiserman+5269, LucianTheFak+3697, NadtyLite+7330",5502
4,46309,2026-04-04,LucianTheFak+3697,"Nefkano+8780, cliuless+2304, Seiza+6137",5412
5,46384,2026-04-08,Led_Slash+3579,"Kmahussier+2186, Dramsss+3, DemaRogue+7727",5366
6,46285,2026-04-03,kaiser+8343,"Schkitz+8222, Tad604+8004, Mossfusion+6189",5341
7,46333,2026-04-05,Antiproject+7236,"NadtyLite+7330, LucianTheFak+3697, Schkitz+8222",5319
8,46340,2026-04-06,Seiza+6137,"Nefkano+8780, NadtyLite+7330, MylesMoose+6850",5308
9,46368,2026-04-07,LutherStr+1358,"LucianTheFak+3697, NadtyLite+7330, cliuless+2304",5303
10,46327,2026-04-05,matemato+5004,"Youdge+8117, cliuless+2304, kaiser+8343",5301
11,46260,2026-04-01,Rabbitwarlord+1983,"Led_Slash+3579, DarthPuniceus+9605, Wubba+9310",5295
12,46320,2026-04-05,NadtyLite+7330,"LucianTheFak+3697, fadingnovel+7335, LutherStr+1358",5283
13,46321,2026-04-05,Jasiuńcio+3892,"Emperia+9282, radiantchaos+5523, swiftsusan+8662",5276
14,46353,2026-04-06,Odinius+897,"LucianTheFak+3697, Emperia+9282, cliuless+2304",5271
15,46325,2026-04-05,Emperia+9282,"swiftsusan+8662, Jasiuńcio+3892, radiantchaos+5523",5266
16,46390,2026-04-08,Led_Slash+3579,"DarthPuniceus+9605, Kmahussier+2186, DanzigMF+6351",5265
17,46323,2026-04-05,Led_Slash+3579,"Pliskin+7357, radiantchaos+5523, lumpyprol+3206",5263
18,46378,2026-04-08,Plush2+8334,"Tad604+8004, KeyserSoze+1044, Seiza+6137",5251
19,46388,2026-04-08,fadingnovel+7335,"LutherStr+1358, LucianTheFak+3697, NadtyLite+7330",5245
20,46385,2026-04-08,Led_Slash+3579,"DarthPuniceus+9605, buurn+343, Ctfox+5431",5239
21,46349,2026-04-06,Tolfan,"Emperia+9282, Valzaan+3564, Gabobs+7758",5239
22,46276,2026-04-02,matemato+5004,"Seiza+6137, Wrestler+3756, Mossfusion+6189",5229
23,46280,2026-04-02,NadtyLite+7330,"LucianTheFak+3697, matemato+5004, Schkitz+8222",5229
24,46359,2026-04-07,LucianTheFak+3697,"cliuless+2304, Emperia+9282, lumpyprol+3206",5229
25,46346,2026-04-06,DarthOblivius+1339,"Wubba+9310, Seiza+6137, Led_Slash+3579",5210
26,46322,2026-04-05,Led_Slash+3579,"Rabbitwarlord+1983, lumpyprol+3206, StoneOfShame+5048",5207
27,46341,2026-04-06,Jasiuńcio+3892,"Emperia+9282, swiftsusan+8662, radiantchaos+5523",5202
28,46283,2026-04-02,Intraceptor+5437,"LucianTheFak+3697, cliuless+2304, cringelordirl+3838",5191
29,46376,2026-04-08,LucianTheFak+3697,"TurkeyNoNo+9522, LutherStr+1358, AERotters+5277",5188
