Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,doejurko+3088,1559.472685605228,8,8.0,100.0%,1559,+45
1,Killerstorm17+3440,1483.8941146227812,20,14.0,70.0%,1553,-21
2,Led_Slash+3579,1483.5991581879136,163,93.0,57.1%,1551,-14
3,kayajam+9348,1467.8491344935535,32,19.0,59.4%,1490,-14
4,tofuwater+4853,1459.4499401483165,21,14.0,66.7%,1502,-27
5,ShuShuBana+2889,1441.875683566354,57,30.0,52.6%,1510,+10
6,Seiza+6137,1441.0291935988262,40,16.0,40.0%,1441,+27
7,Nadav253+6419,1437.489363945164,21,13.0,61.9%,1506,-15
8,Mouseman+7870,1429.322985205294,15,8.0,53.3%,1471,-12
9,Tad604+8004,1419.594412429463,49,19.0,38.8%,1441,-26
10,Ctfox+5431,1419.2452535453642,20,11.0,55.0%,1456,-24
11,swiftsusan+8662,1407.663583893744,22,12.0,54.5%,1424,-21
12,matemato+5004,1391.5005418502546,52,21.0,40.4%,1402,-9
13,LucianTheFak+3697,1388.6208414956386,94,33.5,35.6%,1389,+12
14,IMPERATOR+2570,1386.6449338951863,11,7.5,68.2%,1501,-21
15,DarthPuniceus+9605,1376.704514517329,54,18.0,33.3%,1381,+12
16,Xar149+9374,1373.5376176188465,11,7.0,63.6%,1499,-19
17,Tricholome+4276,1365.968542887462,80,28.5,35.6%,1374,-8
18,Bapgo+7254,1364.5203828876502,17,8.0,47.1%,1453,+23
-,tippop+7531,1364.0519908559957,8,4.0,50.0%,1382,-22
19,kaiser+8343,1360.084753179673,46,19.0,41.3%,1383,+23
20,Pliskin+7357,1357.8736543537273,22,9.0,40.9%,1381,+23
21,Nefkano+8780,1356.8274094692506,79,31.0,39.2%,1421,-5
22,FrancescoBr+4009,1356.0489722592315,22,10.0,45.5%,1356,+19
23,KFull+1226,1355.2441590570345,71,28.5,40.1%,1491,-5
24,FavorOfTheRabbits+9523,1346.6119250487297,20,8.0,40.0%,1366,-8
25,BareGammon+82,1339.430783347899,10,5.0,50.0%,1376,-41
26,Rabbitwarlord+1983,1336.7040678576182,18,7.0,38.9%,1356,-15
